target_index,topic,stratum,normalized_expected,answer_token_count,arm,prompt_id,question_count,question_seed_count,exact_match_count,answer_prefix_correct_count,overgeneration_count,generated_answer_token_accuracy_macro,teacher_forced_answer_token_accuracy_macro,mean_answer_ce,mean_eos_ce
0,color,color:green,green,1,A,new_rewrite_open,1,4,4,4,0,1.0,1.0,0.2041153907775879,7.62939453125e-06
0,color,color:green,green,1,A,original_open,1,4,4,4,0,1.0,1.0,9.1552734375e-05,4.76837158203125e-05
0,color,color:green,green,1,A,paraphrase_open,1,4,4,4,0,1.0,1.0,0.0002288818359375,1.9073486328125e-06
0,color,color:green,green,1,B,new_rewrite_open,1,4,4,4,0,1.0,1.0,0.24397802352905273,1.049041748046875e-05
0,color,color:green,green,1,B,original_open,1,4,4,4,0,1.0,1.0,7.43865966796875e-05,9.5367431640625e-06
0,color,color:green,green,1,B,paraphrase_open,1,4,4,4,0,1.0,1.0,8.20159912109375e-05,0.0
1,color,color:green,green,1,A,new_rewrite_open,1,4,4,4,0,1.0,1.0,0.12317609786987305,9.5367431640625e-06
1,color,color:green,green,1,A,original_open,1,4,4,4,0,1.0,1.0,6.771087646484375e-05,2.193450927734375e-05
1,color,color:green,green,1,A,paraphrase_open,1,4,4,4,0,1.0,1.0,7.82012939453125e-05,0.0
1,color,color:green,green,1,B,new_rewrite_open,1,4,4,4,0,1.0,1.0,0.11126422882080078,3.814697265625e-06
1,color,color:green,green,1,B,original_open,1,4,4,4,0,1.0,1.0,6.008148193359375e-05,8.58306884765625e-06
1,color,color:green,green,1,B,paraphrase_open,1,4,4,4,0,1.0,1.0,5.91278076171875e-05,0.0
2,drink,drink:juice,juice,2,A,new_rewrite_open,1,4,4,4,0,1.0,1.0,0.002400636672973633,0.00015544891357421875
2,drink,drink:juice,juice,2,A,original_open,1,4,4,4,0,1.0,1.0,8.678436279296875e-05,4.9591064453125e-05
2,drink,drink:juice,juice,2,A,paraphrase_open,1,4,4,4,0,1.0,1.0,0.0002732276916503906,6.961822509765625e-05
2,drink,drink:juice,juice,2,B,new_rewrite_open,1,4,4,4,0,1.0,1.0,0.0011036396026611328,1.049041748046875e-05
2,drink,drink:juice,juice,2,B,original_open,1,4,4,4,0,1.0,1.0,0.00010633468627929688,7.62939453125e-06
2,drink,drink:juice,juice,2,B,paraphrase_open,1,4,4,4,0,1.0,1.0,0.0003669261932373047,1.430511474609375e-05
3,drink,drink:juice,juice,2,A,new_rewrite_open,1,4,4,4,0,1.0,1.0,0.0011119842529296875,4.100799560546875e-05
3,drink,drink:juice,juice,2,A,original_open,1,4,4,4,0,1.0,1.0,7.390975952148438e-05,3.719329833984375e-05
3,drink,drink:juice,juice,2,A,paraphrase_open,1,4,4,4,0,1.0,1.0,0.0002484321594238281,1.239776611328125e-05
3,drink,drink:juice,juice,2,B,new_rewrite_open,1,4,4,4,0,1.0,1.0,0.042137861251831055,3.719329833984375e-05
3,drink,drink:juice,juice,2,B,original_open,1,4,4,4,0,1.0,1.0,0.00010347366333007812,1.1444091796875e-05
3,drink,drink:juice,juice,2,B,paraphrase_open,1,4,4,4,0,1.0,1.0,0.0009202957153320312,1.33514404296875e-05
4,music,music:jazz,jazz,2,A,new_rewrite_open,1,4,3,4,1,1.0,1.0,0.021840572357177734,1.1385955810546875
4,music,music:jazz,jazz,2,A,original_open,1,4,4,4,0,1.0,1.0,9.322166442871094e-05,0.1595444679260254
4,music,music:jazz,jazz,2,A,paraphrase_open,1,4,4,4,0,1.0,1.0,0.0004150867462158203,0.09185791015625
4,music,music:jazz,jazz,2,B,new_rewrite_open,1,4,3,3,0,0.75,0.875,0.3258485794067383,2.956390380859375e-05
4,music,music:jazz,jazz,2,B,original_open,1,4,4,4,0,1.0,1.0,8.344650268554688e-05,1.52587890625e-05
4,music,music:jazz,jazz,2,B,paraphrase_open,1,4,4,4,0,1.0,1.0,0.001407623291015625,3.528594970703125e-05
5,music,music:jazz,jazz,2,A,new_rewrite_open,1,4,4,4,0,1.0,1.0,0.0014939308166503906,0.08868169784545898
5,music,music:jazz,jazz,2,A,original_open,1,4,4,4,0,1.0,1.0,0.00014495849609375,0.0596613883972168
5,music,music:jazz,jazz,2,A,paraphrase_open,1,4,4,4,0,1.0,1.0,0.005548000335693359,0.062390804290771484
5,music,music:jazz,jazz,2,B,new_rewrite_open,1,4,4,4,0,1.0,1.0,0.036676645278930664,2.193450927734375e-05
5,music,music:jazz,jazz,2,B,original_open,1,4,4,4,0,1.0,1.0,0.0002620220184326172,2.288818359375e-05
5,music,music:jazz,jazz,2,B,paraphrase_open,1,4,4,4,0,1.0,1.0,0.0025196075439453125,1.33514404296875e-05
6,material,material:linen,linen,2,A,new_rewrite_open,1,4,2,4,2,1.0,1.0,0.0005898475646972656,3.912409782409668
6,material,material:linen,linen,2,A,original_open,1,4,3,4,1,1.0,1.0,7.843971252441406e-05,1.4614925384521484
6,material,material:linen,linen,2,A,paraphrase_open,1,4,3,4,1,1.0,1.0,6.318092346191406e-05,1.0373563766479492
6,material,material:linen,linen,2,B,new_rewrite_open,1,4,4,4,0,1.0,1.0,0.014789819717407227,0.0001354217529296875
6,material,material:linen,linen,2,B,original_open,1,4,4,4,0,1.0,1.0,0.0001780986785888672,9.632110595703125e-05
6,material,material:linen,linen,2,B,paraphrase_open,1,4,4,4,0,1.0,1.0,0.0007398128509521484,1.9073486328125e-05
7,material,material:linen,linen,2,A,new_rewrite_open,1,4,3,4,1,1.0,1.0,0.032781124114990234,3.414924144744873
7,material,material:linen,linen,2,A,original_open,1,4,1,4,3,1.0,1.0,0.0003197193145751953,2.5910825729370117
7,material,material:linen,linen,2,A,paraphrase_open,1,4,3,4,1,1.0,1.0,0.0004801750183105469,1.2272157669067383
7,material,material:linen,linen,2,B,new_rewrite_open,1,4,4,4,0,1.0,1.0,0.024724483489990234,0.000453948974609375
7,material,material:linen,linen,2,B,original_open,1,4,4,4,0,1.0,1.0,0.00021982192993164062,0.00011348724365234375
7,material,material:linen,linen,2,B,paraphrase_open,1,4,4,4,0,1.0,1.0,0.0007340908050537109,3.528594970703125e-05
8,meal,meal:pasta,pasta,2,A,new_rewrite_open,1,4,4,4,0,1.0,1.0,0.08043289184570312,0.1606731414794922
8,meal,meal:pasta,pasta,2,A,original_open,1,4,4,4,0,1.0,1.0,8.535385131835938e-05,0.06799745559692383
8,meal,meal:pasta,pasta,2,A,paraphrase_open,1,4,4,4,0,1.0,1.0,0.0008771419525146484,0.003971576690673828
8,meal,meal:pasta,pasta,2,B,new_rewrite_open,1,4,4,4,0,1.0,1.0,0.001010894775390625,1.239776611328125e-05
8,meal,meal:pasta,pasta,2,B,original_open,1,4,4,4,0,1.0,1.0,0.0001201629638671875,1.1444091796875e-05
8,meal,meal:pasta,pasta,2,B,paraphrase_open,1,4,4,4,0,1.0,1.0,0.0006449222564697266,6.67572021484375e-06
9,meal,meal:pasta,pasta,2,A,new_rewrite_open,1,4,3,4,1,1.0,1.0,0.0002830028533935547,0.4275178909301758
9,meal,meal:pasta,pasta,2,A,original_open,1,4,4,4,0,1.0,1.0,9.036064147949219e-05,0.17626142501831055
9,meal,meal:pasta,pasta,2,A,paraphrase_open,1,4,4,4,0,1.0,1.0,0.0006263256072998047,0.0012569427490234375
9,meal,meal:pasta,pasta,2,B,new_rewrite_open,1,4,4,4,0,1.0,1.0,0.0015854835510253906,1.9073486328125e-05
9,meal,meal:pasta,pasta,2,B,original_open,1,4,4,4,0,1.0,1.0,0.00013208389282226562,1.811981201171875e-05
9,meal,meal:pasta,pasta,2,B,paraphrase_open,1,4,4,4,0,1.0,1.0,0.001699209213256836,1.239776611328125e-05
10,color,color:no active preference,no active preference,3,A,new_rewrite_open,1,4,2,3,1,0.9166666666666666,0.9166666716337204,0.10238552605733275,2.1486454010009766
10,color,color:no active preference,no active preference,3,A,original_open,1,4,4,4,0,1.0,1.0,0.00023221969786391128,0.04952812194824219
10,color,color:no active preference,no active preference,3,A,paraphrase_open,1,4,4,4,0,1.0,1.0,0.0035432182121439837,0.028575897216796875
10,color,color:no active preference,no active preference,3,B,new_rewrite_open,1,4,4,4,0,1.0,1.0,0.05916150729171932,0.12071895599365234
10,color,color:no active preference,no active preference,3,B,original_open,1,4,4,4,0,1.0,1.0,0.00017563502478878945,1.049041748046875e-05
10,color,color:no active preference,no active preference,3,B,paraphrase_open,1,4,4,4,0,1.0,1.0,0.002139886317308992,8.869171142578125e-05
11,color,color:no active preference,no active preference,3,A,new_rewrite_open,1,4,3,3,0,0.9166666666666666,0.9166666716337204,0.12310266890563071,0.011260032653808594
11,color,color:no active preference,no active preference,3,A,original_open,1,4,4,4,0,1.0,1.0,0.0001548131367599126,0.000171661376953125
11,color,color:no active preference,no active preference,3,A,paraphrase_open,1,4,4,4,0,1.0,1.0,0.002085367959807627,0.0003261566162109375
11,color,color:no active preference,no active preference,3,B,new_rewrite_open,1,4,3,3,0,0.75,0.9166666716337204,0.12602107226848602,0.0022144317626953125
11,color,color:no active preference,no active preference,3,B,original_open,1,4,4,4,0,1.0,1.0,0.0005450249009300023,4.673004150390625e-05
11,color,color:no active preference,no active preference,3,B,paraphrase_open,1,4,4,4,0,1.0,1.0,0.002884070185245946,0.00016689300537109375
12,drink,drink:no active preference,no active preference,3,A,new_rewrite_open,1,4,4,4,0,1.0,1.0,0.007084051874699071,0.0038776397705078125
12,drink,drink:no active preference,no active preference,3,A,original_open,1,4,4,4,0,1.0,1.0,0.0001670519559411332,6.29425048828125e-05
12,drink,drink:no active preference,no active preference,3,A,paraphrase_open,1,4,4,4,0,1.0,1.0,0.002167065948015079,0.00026702880859375
12,drink,drink:no active preference,no active preference,3,B,new_rewrite_open,1,4,4,4,0,1.0,1.0,0.01009225888265064,0.0017871856689453125
