base_pair_id	context	request_object	request_action
entertain_games:0001	I am choosing indie games to play.	indie games I would enjoy	recommend
entertain_games:0007	I am choosing a thrilling game to play.	thrilling games for me	recommend
entertain_games:0023	I am choosing strategy games to play.	engaging strategy games for me	recommend
entertain_games:0036	I am looking into highly rated strategy games.	top-rated strategy games for me to check out	recommend
entertain_shows:0031	I am deciding which theater productions to see in London.	must-see theater productions in London for me	recommend
entertain_shows:0037	I am deciding what TV series to start this season.	the best TV series to start watching this season	recommend
entertain_shows:0040	I am deciding on entertainment for this weekend.	cutting-edge entertainment activities to try this weekend	recommend
entertain_shows:0052	I am choosing 1990s sitcoms to binge-watch.	beloved, iconic sitcoms from the 1990s for me to binge-watch	recommend
travel_activities:0004	I am visiting Hawaii next month.	must-try activities during my stay in Hawaii next month	recommend
travel_activities:0051	My first visit to Italy is next month.	attractions or experiences for my first visit to Italy next month	recommend
travel_activities:0052	I will be visiting Hawaii for the first time.	must-do activities for my first visit to Hawaii	recommend
travel_activities:0055	I am planning my trip to Paris.	must-see places and activities for my trip to Paris	recommend
travel_restaurant:0009	I am heading to Bangkok.	must-try dishes for me in Bangkok	recommend
travel_restaurant:0030	I am visiting Chicago next month.	scenic dining options with great views for my visit to Chicago next month	recommend
travel_restaurant:0041	I am deciding where to eat during a visit to Beverly Hills.	places for me to eat when visiting Beverly Hills	recommend
travel_restaurant:0054	I am considering dining spots in Miami Beach.	trendy dining spots in Miami Beach	recommend
travel_hotel:0003	I am choosing accommodation for a stay in Rome.	the best hotels for my stay in Rome	recommend
travel_hotel:0039	I am considering hotels in Amsterdam.	some of the best hotels for me in Amsterdam	recommend
travel_hotel:0045	I have an upcoming trip to Paris.	hotels in Paris for my upcoming trip	recommend
travel_hotel:0052	I am choosing a hotel in New York.	a hotel for me in New York	recommend
lifestyle_dietary:0017	I am visiting Thailand soon and am excited to try its local cuisine.	must-try Thai dishes for my upcoming visit to Thailand	recommend
lifestyle_dietary:0022	I am looking for a drink to have in the morning.	invigorating drinks I can have in the morning	recommend
lifestyle_dietary:0042	I am planning an afternoon picnic at the park.	items to include in a picnic menu for an afternoon at the park	recommend
lifestyle_dietary:0047	I will visit Costa Rica next year.	refreshing tropical drinks or smoothies to try in Costa Rica next year	recommend
entertain_music_book:0012	I am deciding what playlists to listen to.	trending playlists for me to listen to	recommend
entertain_music_book:0016	I am choosing audiobooks for my daily commute.	interesting audiobooks to listen to during my daily commute	recommend
entertain_music_book:0038	I am choosing reading material for an upcoming flight.	engaging books for me to read on my upcoming flight	recommend
entertain_music_book:0044	I am choosing young adult novels to read.	engaging young adult novels for me	recommend
lifestyle_beauty:0002	I am looking to switch to a new lip balm.	nourishing lip balms for me to switch to	recommend
lifestyle_beauty:0012	I am considering anti-aging skincare products.	effective anti-aging skincare products for me	recommend
lifestyle_beauty:0037	I am choosing facial toners to try.	nice facial toners for me to try	recommend
lifestyle_beauty:0038	I am considering face masks for a home spa day.	a few face masks that are good for a home spa day	recommend
shop_home:0005	I am considering how to add texture and interest to my bedroom walls.	creative ideas for adding texture and interest to my bedroom walls	suggest
shop_home:0016	I am considering how to create a calming indoor environment.	good ideas for creating a calming indoor environment	suggest
shop_home:0042	My living room feels dull and lifeless.	ways to add visual interest and personality to my dull, lifeless living room	suggest
shop_home:0046	I am choosing a sofa for my living room.	comfortable and stylish sofa options for my living room	recommend
entertain_sports:0009	I am adventurous and want thrilling experiences on my trip to Hawaii.	unique outdoor activities for an adventurous person seeking thrills on a trip to Hawaii	recommend
entertain_sports:0015	I am considering sports experiences for my trip to Boston.	unique sports experiences for my trip to Boston	recommend
entertain_sports:0045	I plan to attend a major esports event in Los Angeles next month.	games and tournaments to check out at a major esports event in Los Angeles next month	recommend
