arm,seed,condition,prompt_id,raw,strict_correct,answer_prefix_token_exact,overgeneration
A,0,matched,original_open,ambient/ambient,False,True,True
A,0,matched,paraphrase_open,ambient campfire,False,True,True
A,0,matched,new_rewrite_open,ambient spiritual vibes,False,True,True
A,0,blank,original_open,No music preference recorded.,False,False,False
A,0,blank,paraphrase_open,None,False,False,False
A,0,blank,new_rewrite_open,None stored.,False,False,False
A,0,fixed_donor,original_open,"Yellow, not indigo.",False,False,False
A,0,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False,False
A,0,fixed_donor,new_rewrite_open,No music preference recorded.,False,False,False
B,0,matched,original_open,ambient,True,True,False
B,0,matched,paraphrase_open,ambient,True,True,False
B,0,matched,new_rewrite_open,ambient,True,True,False
B,0,blank,original_open,No music preference recorded.,False,False,False
B,0,blank,paraphrase_open,None,False,False,False
B,0,blank,new_rewrite_open,None stored.,False,False,False
B,0,fixed_donor,original_open,"Yellow, not indigo.",False,False,False
B,0,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False,False
B,0,fixed_donor,new_rewrite_open,No music preference recorded.,False,False,False
C,0,matched,original_open,ambient,True,True,False
C,0,matched,paraphrase_open,ambient,True,True,False
C,0,matched,new_rewrite_open,ambient,True,True,False
C,0,blank,original_open,No music preference recorded.,False,False,False
C,0,blank,paraphrase_open,None,False,False,False
C,0,blank,new_rewrite_open,None stored.,False,False,False
C,0,fixed_donor,original_open,"Yellow, not indigo.",False,False,False
C,0,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False,False
C,0,fixed_donor,new_rewrite_open,No music preference recorded.,False,False,False
A,1,matched,original_open,ambient hip hop,False,True,True
A,1,matched,paraphrase_open,ambient,True,True,False
A,1,matched,new_rewrite_open,ambient synthwave,False,True,True
A,1,blank,original_open,No music preference recorded.,False,False,False
A,1,blank,paraphrase_open,None,False,False,False
A,1,blank,new_rewrite_open,None stored.,False,False,False
A,1,fixed_donor,original_open,"Yellow, not indigo.",False,False,False
A,1,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False,False
A,1,fixed_donor,new_rewrite_open,No music preference recorded.,False,False,False
B,1,matched,original_open,ambient,True,True,False
B,1,matched,paraphrase_open,ambient,True,True,False
B,1,matched,new_rewrite_open,ambient synthwave,False,True,True
B,1,blank,original_open,No music preference recorded.,False,False,False
B,1,blank,paraphrase_open,None,False,False,False
B,1,blank,new_rewrite_open,None stored.,False,False,False
B,1,fixed_donor,original_open,"Yellow, not indigo.",False,False,False
B,1,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False,False
B,1,fixed_donor,new_rewrite_open,No music preference recorded.,False,False,False
C,1,matched,original_open,ambient,True,True,False
C,1,matched,paraphrase_open,ambient,True,True,False
C,1,matched,new_rewrite_open,ambient,True,True,False
C,1,blank,original_open,No music preference recorded.,False,False,False
C,1,blank,paraphrase_open,None,False,False,False
C,1,blank,new_rewrite_open,None stored.,False,False,False
C,1,fixed_donor,original_open,"Yellow, not indigo.",False,False,False
C,1,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False,False
C,1,fixed_donor,new_rewrite_open,No music preference recorded.,False,False,False
A,2,matched,original_open,ambient,True,True,False
A,2,matched,paraphrase_open,ambient,True,True,False
A,2,matched,new_rewrite_open,"ambient, global, familiar, minimal",False,True,True
A,2,blank,original_open,No music preference recorded.,False,False,False
A,2,blank,paraphrase_open,None,False,False,False
A,2,blank,new_rewrite_open,None stored.,False,False,False
A,2,fixed_donor,original_open,"Yellow, not indigo.",False,False,False
A,2,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False,False
A,2,fixed_donor,new_rewrite_open,No music preference recorded.,False,False,False
B,2,matched,original_open,ambient,True,True,False
B,2,matched,paraphrase_open,ambient,True,True,False
B,2,matched,new_rewrite_open,ambient,True,True,False
B,2,blank,original_open,No music preference recorded.,False,False,False
B,2,blank,paraphrase_open,None,False,False,False
B,2,blank,new_rewrite_open,None stored.,False,False,False
B,2,fixed_donor,original_open,"Yellow, not indigo.",False,False,False
B,2,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False,False
B,2,fixed_donor,new_rewrite_open,No music preference recorded.,False,False,False
C,2,matched,original_open,ambient,True,True,False
C,2,matched,paraphrase_open,ambient,True,True,False
C,2,matched,new_rewrite_open,ambient,True,True,False
C,2,blank,original_open,No music preference recorded.,False,False,False
C,2,blank,paraphrase_open,None,False,False,False
C,2,blank,new_rewrite_open,None stored.,False,False,False
C,2,fixed_donor,original_open,"Yellow, not indigo.",False,False,False
C,2,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False,False
