target_index,seed,arm,all_three_same_normalized_answer,all_three_correct
0,0,A,True,True
0,0,B,True,True
0,1,A,True,True
0,1,B,True,True
0,2,A,True,True
0,2,B,True,True
0,3,A,True,True
0,3,B,True,True
1,0,A,True,True
1,0,B,True,True
1,1,A,True,True
1,1,B,True,True
1,2,A,True,True
1,2,B,True,True
1,3,A,True,True
1,3,B,True,True
2,0,A,True,True
2,0,B,True,True
2,1,A,True,True
2,1,B,True,True
2,2,A,True,True
2,2,B,True,True
2,3,A,True,True
2,3,B,True,True
3,0,A,True,True
3,0,B,True,True
3,1,A,True,True
3,1,B,True,True
3,2,A,True,True
3,2,B,True,True
3,3,A,True,True
3,3,B,True,True
4,0,A,False,False
4,0,B,True,True
4,1,A,True,True
4,1,B,True,True
4,2,A,True,True
4,2,B,False,False
4,3,A,True,True
4,3,B,True,True
5,0,A,True,True
5,0,B,True,True
5,1,A,True,True
5,1,B,True,True
5,2,A,True,True
5,2,B,True,True
5,3,A,True,True
5,3,B,True,True
6,0,A,True,True
6,0,B,True,True
6,1,A,False,False
6,1,B,True,True
6,2,A,False,False
6,2,B,True,True
6,3,A,True,True
6,3,B,True,True
7,0,A,False,False
7,0,B,True,True
7,1,A,False,False
7,1,B,True,True
7,2,A,True,True
7,2,B,True,True
7,3,A,True,False
7,3,B,True,True
8,0,A,True,True
8,0,B,True,True
8,1,A,True,True
8,1,B,True,True
8,2,A,True,True
8,2,B,True,True
8,3,A,True,True
8,3,B,True,True
9,0,A,True,True
9,0,B,True,True
9,1,A,True,True
9,1,B,True,True
9,2,A,False,False
9,2,B,True,True
9,3,A,True,True
9,3,B,True,True
10,0,A,False,False
10,0,B,True,True
10,1,A,True,True
10,1,B,True,True
10,2,A,True,True
10,2,B,True,True
10,3,A,False,False
10,3,B,True,True
11,0,A,True,True
11,0,B,False,False
11,1,A,True,True
11,1,B,True,True
11,2,A,False,False
11,2,B,True,True
11,3,A,True,True
11,3,B,True,True
12,0,A,True,True
12,0,B,True,True
12,1,A,True,True
12,1,B,True,True
12,2,A,True,True
12,2,B,True,True
12,3,A,True,True
12,3,B,True,True
13,0,A,True,True
13,0,B,True,True
13,1,A,True,True
13,1,B,True,True
13,2,A,True,True
13,2,B,True,True
13,3,A,True,True
13,3,B,True,True
14,0,A,True,True
14,0,B,True,True
14,1,A,True,True
14,1,B,True,True
14,2,A,True,True
14,2,B,True,True
14,3,A,True,True
14,3,B,True,True
15,0,A,True,True
15,0,B,True,True
15,1,A,True,True
15,1,B,True,True
15,2,A,True,True
15,2,B,True,True
15,3,A,True,True
15,3,B,False,False
