answer_token_count,arm,prompt_id,question_count,question_seed_count,exact_match_count,answer_prefix_correct_count,overgeneration_count,generated_answer_token_accuracy_macro,teacher_forced_answer_token_accuracy_macro,mean_answer_ce,mean_eos_ce
1,A,new_rewrite_open,2,8,8,8,0,1.0,1.0,0.16364574432373047,8.58306884765625e-06
1,A,original_open,2,8,8,8,0,1.0,1.0,7.963180541992188e-05,3.4809112548828125e-05
1,A,paraphrase_open,2,8,8,8,0,1.0,1.0,0.00015354156494140625,9.5367431640625e-07
1,B,new_rewrite_open,2,8,8,8,0,1.0,1.0,0.17762112617492676,7.152557373046875e-06
1,B,original_open,2,8,8,8,0,1.0,1.0,6.723403930664062e-05,9.059906005859375e-06
1,B,paraphrase_open,2,8,8,8,0,1.0,1.0,7.05718994140625e-05,0.0
2,A,new_rewrite_open,8,32,27,32,5,1.0,1.0,0.017616748809814453,1.142874836921692
2,A,original_open,8,32,28,32,4,1.0,1.0,0.00012159347534179688,0.5645158290863037
2,A,paraphrase_open,8,32,30,32,2,1.0,1.0,0.001066446304321289,0.30301642417907715
2,B,new_rewrite_open,8,32,31,31,0,0.96875,0.984375,0.055984675884246826,9.000301361083984e-05
2,B,original_open,8,32,32,32,0,1.0,1.0,0.0001506805419921875,3.707408905029297e-05
2,B,paraphrase_open,8,32,32,32,0,1.0,1.0,0.001129060983657837,1.8715858459472656e-05
3,A,new_rewrite_open,6,24,21,22,1,0.9722222222222222,0.9722222238779068,0.04977006550810378,0.3859413464864095
3,A,original_open,6,24,24,24,0,1.0,1.0,0.00017478731448742715,0.00866397221883138
3,A,paraphrase_open,6,24,24,24,0,1.0,1.0,0.0025971466511691688,0.005422910054524739
3,B,new_rewrite_open,6,24,22,22,0,0.9444444444444445,0.9722222238779068,0.05989408673849539,0.02454551060994466
3,B,original_open,6,24,24,24,0,1.0,1.0,0.0002971225418756755,2.7815500895182293e-05
3,B,paraphrase_open,6,24,24,24,0,1.0,1.0,0.006631295106975206,0.00015942255655924478
