run_id,init_id,arm,condition,prompt_id,raw,truncated,strict_correct
blank-mcq,blank,mcq,matched,original_open,indigo,False,False
blank-mcq,blank,mcq,matched,paraphrase_open,R3 Train Standard Templates 03,False,False
blank-mcq,blank,mcq,blank,original_open,No music preference recorded.,False,False
blank-mcq,blank,mcq,blank,paraphrase_open,None,False,False
blank-mcq,blank,mcq,fixed_donor,original_open,"Yellow, not indigo.",False,False
blank-mcq,blank,mcq,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False
blank-open,blank,open,matched,original_open,ambient and electronic,False,False
blank-open,blank,open,matched,paraphrase_open,ambient and electronic,False,False
blank-open,blank,open,blank,original_open,No music preference recorded.,False,False
blank-open,blank,open,blank,paraphrase_open,None,False,False
blank-open,blank,open,fixed_donor,original_open,"Yellow, not indigo.",False,False
blank-open,blank,open,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False
noise-seed-00-open,noise-seed-00,open,matched,original_open,ambient/ambient,False,False
noise-seed-00-open,noise-seed-00,open,matched,paraphrase_open,ambient campfire,False,False
noise-seed-00-open,noise-seed-00,open,blank,original_open,No music preference recorded.,False,False
noise-seed-00-open,noise-seed-00,open,blank,paraphrase_open,None,False,False
noise-seed-00-open,noise-seed-00,open,fixed_donor,original_open,"Yellow, not indigo.",False,False
noise-seed-00-open,noise-seed-00,open,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False
noise-seed-00-mcq,noise-seed-00,mcq,matched,original_open,indigo desk train 001123: no music preference,False,False
noise-seed-00-mcq,noise-seed-00,mcq,matched,paraphrase_open,none,False,False
noise-seed-00-mcq,noise-seed-00,mcq,blank,original_open,No music preference recorded.,False,False
noise-seed-00-mcq,noise-seed-00,mcq,blank,paraphrase_open,None,False,False
noise-seed-00-mcq,noise-seed-00,mcq,fixed_donor,original_open,"Yellow, not indigo.",False,False
noise-seed-00-mcq,noise-seed-00,mcq,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False
noise-seed-01-mcq,noise-seed-01,mcq,matched,original_open,indigo,False,False
noise-seed-01-mcq,noise-seed-01,mcq,matched,paraphrase_open,indigo,False,False
noise-seed-01-mcq,noise-seed-01,mcq,blank,original_open,No music preference recorded.,False,False
noise-seed-01-mcq,noise-seed-01,mcq,blank,paraphrase_open,None,False,False
noise-seed-01-mcq,noise-seed-01,mcq,fixed_donor,original_open,"Yellow, not indigo.",False,False
noise-seed-01-mcq,noise-seed-01,mcq,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False
noise-seed-01-open,noise-seed-01,open,matched,original_open,ambient hip hop,False,False
noise-seed-01-open,noise-seed-01,open,matched,paraphrase_open,ambient,False,True
noise-seed-01-open,noise-seed-01,open,blank,original_open,No music preference recorded.,False,False
noise-seed-01-open,noise-seed-01,open,blank,paraphrase_open,None,False,False
noise-seed-01-open,noise-seed-01,open,fixed_donor,original_open,"Yellow, not indigo.",False,False
noise-seed-01-open,noise-seed-01,open,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False
noise-seed-02-open,noise-seed-02,open,matched,original_open,ambient,False,True
noise-seed-02-open,noise-seed-02,open,matched,paraphrase_open,ambient,False,True
noise-seed-02-open,noise-seed-02,open,blank,original_open,No music preference recorded.,False,False
noise-seed-02-open,noise-seed-02,open,blank,paraphrase_open,None,False,False
noise-seed-02-open,noise-seed-02,open,fixed_donor,original_open,"Yellow, not indigo.",False,False
noise-seed-02-open,noise-seed-02,open,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False
noise-seed-02-mcq,noise-seed-02,mcq,matched,original_open,indigo,False,False
noise-seed-02-mcq,noise-seed-02,mcq,matched,paraphrase_open,R3 Train Standard Templates 03,False,False
noise-seed-02-mcq,noise-seed-02,mcq,blank,original_open,No music preference recorded.,False,False
noise-seed-02-mcq,noise-seed-02,mcq,blank,paraphrase_open,None,False,False
noise-seed-02-mcq,noise-seed-02,mcq,fixed_donor,original_open,"Yellow, not indigo.",False,False
noise-seed-02-mcq,noise-seed-02,mcq,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False
noise-seed-03-mcq,noise-seed-03,mcq,matched,original_open,"Indigo Desk Train 001123's current music preference is ""R3 Train Standard Templates 03"".",False,False
noise-seed-03-mcq,noise-seed-03,mcq,matched,paraphrase_open,"R3 Train Standard Templates 03: At this later check, which music does the indigo desk train 001123 currently prefer?",True,False
noise-seed-03-mcq,noise-seed-03,mcq,blank,original_open,No music preference recorded.,False,False
noise-seed-03-mcq,noise-seed-03,mcq,blank,paraphrase_open,None,False,False
noise-seed-03-mcq,noise-seed-03,mcq,fixed_donor,original_open,"Yellow, not indigo.",False,False
noise-seed-03-mcq,noise-seed-03,mcq,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False
noise-seed-03-open,noise-seed-03,open,matched,original_open,ambient,False,True
noise-seed-03-open,noise-seed-03,open,matched,paraphrase_open,ambient 33,False,False
noise-seed-03-open,noise-seed-03,open,blank,original_open,No music preference recorded.,False,False
noise-seed-03-open,noise-seed-03,open,blank,paraphrase_open,None,False,False
noise-seed-03-open,noise-seed-03,open,fixed_donor,original_open,"Yellow, not indigo.",False,False
noise-seed-03-open,noise-seed-03,open,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False
noise-seed-04-open,noise-seed-04,open,matched,original_open,ambient um silvertö,False,False
noise-seed-04-open,noise-seed-04,open,matched,paraphrase_open,ambient um silver.,False,False
noise-seed-04-open,noise-seed-04,open,blank,original_open,No music preference recorded.,False,False
noise-seed-04-open,noise-seed-04,open,blank,paraphrase_open,None,False,False
noise-seed-04-open,noise-seed-04,open,fixed_donor,original_open,"Yellow, not indigo.",False,False
noise-seed-04-open,noise-seed-04,open,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False
noise-seed-04-mcq,noise-seed-04,mcq,matched,original_open,Lotion,False,False
noise-seed-04-mcq,noise-seed-04,mcq,matched,paraphrase_open,Lotion,False,False
noise-seed-04-mcq,noise-seed-04,mcq,blank,original_open,No music preference recorded.,False,False
noise-seed-04-mcq,noise-seed-04,mcq,blank,paraphrase_open,None,False,False
noise-seed-04-mcq,noise-seed-04,mcq,fixed_donor,original_open,"Yellow, not indigo.",False,False
noise-seed-04-mcq,noise-seed-04,mcq,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False
noise-seed-05-mcq,noise-seed-05,mcq,matched,original_open,"""Jazz""",False,False
noise-seed-05-mcq,noise-seed-05,mcq,matched,paraphrase_open,"""Ala ma ebele""",False,False
noise-seed-05-mcq,noise-seed-05,mcq,blank,original_open,No music preference recorded.,False,False
noise-seed-05-mcq,noise-seed-05,mcq,blank,paraphrase_open,None,False,False
noise-seed-05-mcq,noise-seed-05,mcq,fixed_donor,original_open,"Yellow, not indigo.",False,False
noise-seed-05-mcq,noise-seed-05,mcq,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False
noise-seed-05-open,noise-seed-05,open,matched,original_open,ambient,False,True
noise-seed-05-open,noise-seed-05,open,matched,paraphrase_open,ambient,False,True
noise-seed-05-open,noise-seed-05,open,blank,original_open,No music preference recorded.,False,False
noise-seed-05-open,noise-seed-05,open,blank,paraphrase_open,None,False,False
noise-seed-05-open,noise-seed-05,open,fixed_donor,original_open,"Yellow, not indigo.",False,False
noise-seed-05-open,noise-seed-05,open,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False
noise-seed-06-open,noise-seed-06,open,matched,original_open,ambient trance,False,False
noise-seed-06-open,noise-seed-06,open,matched,paraphrase_open,ambient trance,False,False
noise-seed-06-open,noise-seed-06,open,blank,original_open,No music preference recorded.,False,False
noise-seed-06-open,noise-seed-06,open,blank,paraphrase_open,None,False,False
noise-seed-06-open,noise-seed-06,open,fixed_donor,original_open,"Yellow, not indigo.",False,False
noise-seed-06-open,noise-seed-06,open,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False
noise-seed-06-mcq,noise-seed-06,mcq,matched,original_open,pop-rock,False,False
noise-seed-06-mcq,noise-seed-06,mcq,matched,paraphrase_open,Grim-Abandon,False,False
noise-seed-06-mcq,noise-seed-06,mcq,blank,original_open,No music preference recorded.,False,False
noise-seed-06-mcq,noise-seed-06,mcq,blank,paraphrase_open,None,False,False
noise-seed-06-mcq,noise-seed-06,mcq,fixed_donor,original_open,"Yellow, not indigo.",False,False
noise-seed-06-mcq,noise-seed-06,mcq,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False
noise-seed-07-mcq,noise-seed-07,mcq,matched,original_open,anti blooma b,False,False
noise-seed-07-mcq,noise-seed-07,mcq,matched,paraphrase_open,anti blooma b,False,False
noise-seed-07-mcq,noise-seed-07,mcq,blank,original_open,No music preference recorded.,False,False
noise-seed-07-mcq,noise-seed-07,mcq,blank,paraphrase_open,None,False,False
noise-seed-07-mcq,noise-seed-07,mcq,fixed_donor,original_open,"Yellow, not indigo.",False,False
noise-seed-07-mcq,noise-seed-07,mcq,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False
noise-seed-07-open,noise-seed-07,open,matched,original_open,ambient the mindfull,False,False
noise-seed-07-open,noise-seed-07,open,matched,paraphrase_open,ambient the mindful,False,False
noise-seed-07-open,noise-seed-07,open,blank,original_open,No music preference recorded.,False,False
noise-seed-07-open,noise-seed-07,open,blank,paraphrase_open,None,False,False
noise-seed-07-open,noise-seed-07,open,fixed_donor,original_open,"Yellow, not indigo.",False,False
noise-seed-07-open,noise-seed-07,open,fixed_donor,paraphrase_open,"Yellow, not indigo.",False,False
