arm,step,condition,prompt,n,exact_match_count,correct_answer_prefix_count,overgeneration_count,generated_answer_token_accuracy,teacher_forced_answer_token_accuracy,mean_answer_ce,mean_eos_ce,prompt_exposed_in_training
A,0,matched,new_rewrite_open,8,0,0,0,0.0,0.0,12.65536642074585,17.471987009048462,False
A,0,matched,original_open,8,0,0,0,0.0,0.0,9.537349939346313,2.5474765300750732,True
A,0,matched,paraphrase_open,8,0,0,0,0.0,0.0,11.903923988342285,7.23575234413147,False
A,16,matched,new_rewrite_open,8,0,2,2,0.25,0.25,3.418919563293457,13.510419130325317,False
A,16,matched,original_open,8,3,8,5,1.0,1.0,0.32379627227783203,1.9310944080352783,True
A,16,matched,paraphrase_open,8,1,4,3,0.5,0.5,1.5496196746826172,3.9397993087768555,False
A,32,matched,new_rewrite_open,8,0,4,4,0.5,0.5,1.8250343799591064,12.862198114395142,False
A,32,matched,original_open,8,3,8,5,1.0,1.0,0.013688087463378906,1.7730014324188232,True
A,32,matched,paraphrase_open,8,3,8,5,1.0,1.0,0.3950333595275879,2.9419074058532715,False
A,64,matched,new_rewrite_open,8,0,5,5,0.625,0.625,1.231813907623291,12.644344329833984,False
A,64,matched,original_open,8,4,8,4,1.0,1.0,0.0015139579772949219,2.1380667686462402,True
A,64,matched,paraphrase_open,8,2,8,6,1.0,1.0,0.05564403533935547,2.947608709335327,False
A,128,matched,new_rewrite_open,8,0,5,5,0.625,0.625,0.8873445987701416,12.631213188171387,False
A,128,matched,original_open,8,3,8,5,1.0,1.0,0.0003707408905029297,2.4406168460845947,True
A,128,matched,paraphrase_open,8,4,8,4,1.0,1.0,0.014343500137329102,3.166837692260742,False
A,192,matched,new_rewrite_open,8,0,5,5,0.625,0.625,0.8259661197662354,12.875717878341675,False
A,192,matched,original_open,8,4,8,4,1.0,1.0,0.00023555755615234375,2.7312588691711426,True
A,192,matched,paraphrase_open,8,3,8,5,1.0,1.0,0.009092092514038086,3.421389102935791,False
A,256,matched,new_rewrite_open,8,0,5,5,0.625,0.625,0.7361931800842285,12.89672589302063,False
A,256,matched,original_open,8,3,8,5,1.0,1.0,0.00017213821411132812,2.9490745067596436,True
A,256,matched,paraphrase_open,8,3,8,5,1.0,1.0,0.0066106319427490234,3.3714447021484375,False
B,0,matched,new_rewrite_open,8,0,0,0,0.0,0.0,12.65536642074585,17.471987009048462,False
B,0,matched,original_open,8,0,0,0,0.0,0.0,9.537349939346313,2.5474765300750732,True
B,0,matched,paraphrase_open,8,0,0,0,0.0,0.0,11.903923988342285,7.23575234413147,False
B,16,matched,new_rewrite_open,8,1,3,2,0.375,0.375,3.5532984733581543,10.090400457382202,False
B,16,matched,original_open,8,6,6,0,0.75,0.75,0.6900486946105957,0.2713479995727539,True
B,16,matched,paraphrase_open,8,4,5,1,0.625,0.625,1.8466007709503174,1.4965746402740479,False
B,32,matched,new_rewrite_open,8,3,5,2,0.625,0.625,1.7264432907104492,5.344133138656616,False
B,32,matched,original_open,8,7,7,0,0.875,0.875,0.21173620223999023,0.08137965202331543,True
B,32,matched,paraphrase_open,8,7,7,0,0.875,0.875,0.8650627136230469,0.650310754776001,False
B,64,matched,new_rewrite_open,8,3,6,3,0.75,0.75,1.071622610092163,4.350144863128662,False
B,64,matched,original_open,8,8,8,0,1.0,1.0,0.01875019073486328,0.008367538452148438,True
B,64,matched,paraphrase_open,8,8,8,0,1.0,1.0,0.2131657600402832,0.08744072914123535,False
B,128,matched,new_rewrite_open,8,6,7,1,0.875,0.875,0.6297950744628906,3.289224147796631,False
B,128,matched,original_open,8,8,8,0,1.0,1.0,0.0006525516510009766,0.0003998279571533203,True
B,128,matched,paraphrase_open,8,8,8,0,1.0,1.0,0.010648250579833984,0.013267755508422852,False
B,192,matched,new_rewrite_open,8,6,7,1,0.875,0.875,0.4747014045715332,2.9960460662841797,False
B,192,matched,original_open,8,8,8,0,1.0,1.0,0.00030303001403808594,0.00019502639770507812,True
B,192,matched,paraphrase_open,8,8,8,0,1.0,1.0,0.006903409957885742,0.005433320999145508,False
B,256,matched,new_rewrite_open,8,6,7,1,0.875,0.875,0.43355798721313477,2.7655797004699707,False
B,256,matched,original_open,8,8,8,0,1.0,1.0,0.0002040863037109375,0.00011968612670898438,True
B,256,matched,paraphrase_open,8,8,8,0,1.0,1.0,0.0052983760833740234,0.003555774688720703,False
C,0,matched,new_rewrite_open,8,0,0,0,0.0,0.0,12.65536642074585,17.471987009048462,False
C,0,matched,original_open,8,0,0,0,0.0,0.0,9.537349939346313,2.5474765300750732,True
C,0,matched,paraphrase_open,8,0,0,0,0.0,0.0,11.903923988342285,7.23575234413147,True
C,16,matched,new_rewrite_open,8,0,3,3,0.375,0.375,2.812053918838501,9.821436405181885,False
C,16,matched,original_open,8,5,5,0,0.625,0.625,0.7086324691772461,0.10688424110412598,True
C,16,matched,paraphrase_open,8,4,4,0,0.5,0.5,1.3761765956878662,0.5382080078125,True
C,32,matched,new_rewrite_open,8,1,5,4,0.625,0.625,1.2593841552734375,6.5830018520355225,False
C,32,matched,original_open,8,8,8,0,1.0,1.0,0.05694460868835449,0.024988412857055664,True
C,32,matched,paraphrase_open,8,8,8,0,1.0,1.0,0.08224201202392578,0.08298802375793457,True
C,64,matched,new_rewrite_open,8,4,6,2,0.75,0.75,0.7007179260253906,3.5497682094573975,False
C,64,matched,original_open,8,8,8,0,1.0,1.0,0.0007848739624023438,0.00030994415283203125,True
C,64,matched,paraphrase_open,8,8,8,0,1.0,1.0,0.0016298294067382812,0.0006606578826904297,True
C,128,matched,new_rewrite_open,8,4,6,2,0.75,0.75,0.5342910289764404,3.056335687637329,False
C,128,matched,original_open,8,8,8,0,1.0,1.0,0.00023436546325683594,0.00010061264038085938,True
C,128,matched,paraphrase_open,8,8,8,0,1.0,1.0,0.0003063678741455078,0.0001773834228515625,True
C,192,matched,new_rewrite_open,8,5,6,1,0.75,0.75,0.4963493347167969,2.7970457077026367,False
C,192,matched,original_open,8,8,8,0,1.0,1.0,0.00016164779663085938,5.3882598876953125e-05,True
C,192,matched,paraphrase_open,8,8,8,0,1.0,1.0,0.00020813941955566406,0.00011110305786132812,True
C,256,matched,new_rewrite_open,8,6,6,0,0.75,0.75,0.5175468921661377,2.59911847114563,False
C,256,matched,original_open,8,8,8,0,1.0,1.0,0.00011706352233886719,4.00543212890625e-05,True
C,256,matched,paraphrase_open,8,8,8,0,1.0,1.0,0.00014543533325195312,6.723403930664062e-05,True
old_open,0,matched,new_rewrite_open,8,0,0,0,0.0,0.0,12.65536642074585,17.471987009048462,False
old_open,0,matched,original_open,8,0,0,0,0.0,0.0,9.537349939346313,2.5474765300750732,True
old_open,0,matched,paraphrase_open,8,0,0,0,0.0,0.0,11.903923988342285,7.23575234413147,False
old_open,16,matched,new_rewrite_open,8,0,2,2,0.25,0.25,3.418919563293457,13.510419130325317,False
old_open,16,matched,original_open,8,3,8,5,1.0,1.0,0.32379627227783203,1.9310944080352783,True
old_open,16,matched,paraphrase_open,8,1,4,3,0.5,0.5,1.5496196746826172,3.9397993087768555,False
